Start station,End station,Start date,Start station number,End date,End station number,Account type,Total duration (Seconds)
100 Main Street SE,100 Main Street SE,969,969,969,969,969,969
100 Main Street SE,10th Street & Nicollet Mall,52,52,52,52,52,52
100 Main Street SE,11th Ave S & S 2nd Street,634,634,634,634,634,634
100 Main Street SE,11th Street & Hennepin,101,101,101,101,101,101
100 Main Street SE,11th Street & Marquette,100,100,100,100,100,100
100 Main Street SE,15th Ave SE & 4th Street SE,37,37,37,37,37,37
100 Main Street SE,15th Ave SE & Como Ave SE,33,33,33,33,33,33
100 Main Street SE,18th Ave Trail & 2nd Street NE,25,25,25,25,25,25
100 Main Street SE,22nd Ave NE & California Street NE,40,40,40,40,40,40
100 Main Street SE,22nd Ave S & Franklin Ave,16,16,16,16,16,16
100 Main Street SE,23rd Ave SE & 6th Street SE,15,15,15,15,15,15
100 Main Street SE,23rd Ave SE & University Ave SE,33,33,33,33,33,33
100 Main Street SE,25th Street & 33rd Ave S,10,10,10,10,10,10
100 Main Street SE,26th Street & Hennepin,8,8,8,8,8,8
100 Main Street SE,26th Street & Lyndale,8,8,8,8,8,8
100 Main Street SE,27th Ave S & Minnehaha Ave,3,3,3,3,3,3
100 Main Street SE,27th Ave SE & University Ave,32,32,32,32,32,32
100 Main Street SE,28th Street & Nicollet Ave. S,4,4,4,4,4,4
100 Main Street SE,2nd Ave N & N 6th Street,95,95,95,95,95,95
100 Main Street SE,2nd Ave N & Washington Ave N,133,133,133,133,133,133
100 Main Street SE,2nd Ave S & S 3rd Street,79,79,79,79,79,79
100 Main Street SE,2nd Street N & 8th Ave N,64,64,64,64,64,64
100 Main Street SE,2nd Street SE & 5th Ave SE,59,59,59,59,59,59
100 Main Street SE,38th Street Light Rail Station,3,3,3,3,3,3
100 Main Street SE,3rd Ave S & E 38th Street,2,2,2,2,2,2
100 Main Street SE,3rd Street N & 8th Ave N,50,50,50,50,50,50
100 Main Street SE,3rd Street NE & Lowry Ave NE,8,8,8,8,8,8
100 Main Street SE,4th Street & 13th Ave SE,109,109,109,109,109,109
100 Main Street SE,4th Street & 17th Ave SE,25,25,25,25,25,25
100 Main Street SE,4th Street S & 19th Ave,16,16,16,16,16,16
100 Main Street SE,5th Ave N & 4th Street N,35,35,35,35,35,35
100 Main Street SE,5th Street NE & 1st Ave NE,8,8,8,8,8,8
100 Main Street SE,5th Street NE & 3rd Ave NE,26,26,26,26,26,26
100 Main Street SE,6th Ave SE & University Ave,145,145,145,145,145,145
100 Main Street SE,7th Street & 4th Ave S,62,62,62,62,62,62
100 Main Street SE,7th Street N & Plymouth Ave N,3,3,3,3,3,3
100 Main Street SE,7th Street SE & 10th Ave SE,19,19,19,19,19,19
100 Main Street SE,9th Street & 4th Ave,26,26,26,26,26,26
100 Main Street SE,9th Street N & Hawthorne Ave,64,64,64,64,64,64
100 Main Street SE,Bohemian Flats,51,51,51,51,51,51
100 Main Street SE,Boom Island Park,278,278,278,278,278,278
100 Main Street SE,Broadway & Marshall Street NE,83,83,83,83,83,83
100 Main Street SE,Carleton Street & University Ave ,2,2,2,2,2,2
100 Main Street SE,Central Ave NE & 22nd Ave NE,20,20,20,20,20,20
100 Main Street SE,Chicago & 27th Street,2,2,2,2,2,2
100 Main Street SE,Chicago Ave & S Washington Ave,254,254,254,254,254,254
100 Main Street SE,Civil Engineering,4,4,4,4,4,4
100 Main Street SE,Cleveland Ave S & Highland Parkway,2,2,2,2,2,2
100 Main Street SE,Coffman Union,30,30,30,30,30,30
100 Main Street SE,Coldwater Spring,1,1,1,1,1,1
100 Main Street SE,Como Ave SE & 29th Ave SE,10,10,10,10,10,10
100 Main Street SE,Cooke Hall,8,8,8,8,8,8
100 Main Street SE,Curfew Street & Ellis Ave.,9,9,9,9,9,9
100 Main Street SE,Currie Park,15,15,15,15,15,15
100 Main Street SE,Delaware Street SE & 26th Ave SE,18,18,18,18,18,18
100 Main Street SE,Dupont Ave & 22nd Street,6,6,6,6,6,6
100 Main Street SE,Dupont Ave S & W 29th Street,10,10,10,10,10,10
100 Main Street SE,E 38th Street & 42nd Ave S,1,1,1,1,1,1
100 Main Street SE,E Franklin Ave & Bloomington Ave S,2,2,2,2,2,2
100 Main Street SE,East Lake Street & 36th Ave S,2,2,2,2,2,2
100 Main Street SE,Elliot Ave S & E 24th Street,1,1,1,1,1,1
100 Main Street SE,Elliot Hall,33,33,33,33,33,33
100 Main Street SE,Elliot Park,31,31,31,31,31,31
100 Main Street SE,Elwood Ave N & Oak Park Ave N,3,3,3,3,3,3
100 Main Street SE,Farview Park,3,3,3,3,3,3
100 Main Street SE,Fort Snelling Visitor Center,2,2,2,2,2,2
100 Main Street SE,Franklin & 28th Ave,11,11,11,11,11,11
100 Main Street SE,Franklin & Portland,17,17,17,17,17,17
100 Main Street SE,Gateway Park,290,290,290,290,290,290
100 Main Street SE,Girard Ave N & W Broadway Ave,8,8,8,8,8,8
100 Main Street SE,Glenwood Ave & N Morgan Ave,2,2,2,2,2,2
100 Main Street SE,Grant Street & Portland Ave,35,35,35,35,35,35
100 Main Street SE,Groveland Ave & Clifton Place,6,6,6,6,6,6
100 Main Street SE,Hague Ave & Dale Street,4,4,4,4,4,4
100 Main Street SE,Hennepin & Central Avenue NE,92,92,92,92,92,92
100 Main Street SE,Hennepin & Laurel Ave,44,44,44,44,44,44
100 Main Street SE,Hennepin Ave & S Washington Ave,176,176,176,176,176,176
100 Main Street SE,Hennepin County Government Center,112,112,112,112,112,112
100 Main Street SE,Hiawatha Ave & E 50th Street,2,2,2,2,2,2
100 Main Street SE,IDS Center,93,93,93,93,93,93
100 Main Street SE,Lake Calhoun Center,18,18,18,18,18,18
100 Main Street SE,Lake Harriet Bandshell,4,4,4,4,4,4
100 Main Street SE,Lake Street & Humboldt,13,13,13,13,13,13
100 Main Street SE,Lake Street & Knox Ave S,19,19,19,19,19,19
100 Main Street SE,Lake Street & West River Parkway,18,18,18,18,18,18
100 Main Street SE,Logan Park,123,123,123,123,123,123
100 Main Street SE,Loring Park,38,38,38,38,38,38
100 Main Street SE,Lyndale Ave S & 22nd Street ,15,15,15,15,15,15
100 Main Street SE,Lyndale Ave S & W 29th Street,11,11,11,11,11,11
100 Main Street SE,MCAD,19,19,19,19,19,19
100 Main Street SE,Malcolm Ave SE & 5th Street SE,35,35,35,35,35,35
100 Main Street SE,Mariucci Arena,14,14,14,14,14,14
100 Main Street SE,Marshall Street NE & 18th Ave NE,63,63,63,63,63,63
100 Main Street SE,Marshall Street NE & 8th Ave NE,82,82,82,82,82,82
100 Main Street SE,Marshall Street NE & Lowry Ave,39,39,39,39,39,39
100 Main Street SE,Mayo Memorial Building,7,7,7,7,7,7
100 Main Street SE,McNamara Center,70,70,70,70,70,70
100 Main Street SE,Midtown Exchange,9,9,9,9,9,9
100 Main Street SE,Midtown Greenway & 5th Ave S,12,12,12,12,12,12
100 Main Street SE,Midtown YWCA,4,4,4,4,4,4
100 Main Street SE,Mill City Quarter,264,264,264,264,264,264
100 Main Street SE,Minneapolis Farmers Market,9,9,9,9,9,9
100 Main Street SE,Minneapolis Park & Recreation Board,29,29,29,29,29,29
100 Main Street SE,Minnehaha Park,4,4,4,4,4,4
100 Main Street SE,Mississippi River Blvd & Summit Ave,7,7,7,7,7,7
100 Main Street SE,Mpls Convention Center,32,32,32,32,32,32
100 Main Street SE,N 4th Ave & W River Parkway,263,263,263,263,263,263
100 Main Street SE,N Washington Ave & 9th Ave N,51,51,51,51,51,51
100 Main Street SE,NE Central Ave & NE 14th Ave,8,8,8,8,8,8
100 Main Street SE,Nicollet & Franklin,17,17,17,17,17,17
100 Main Street SE,Nicollet Island,184,184,184,184,184,184
100 Main Street SE,Nicollet Mall & Grant Street,45,45,45,45,45,45
100 Main Street SE,North 2nd Street & 4th Ave N,189,189,189,189,189,189
100 Main Street SE,North Mississippi Regional Park,23,23,23,23,23,23
100 Main Street SE,Oak Street Ramp,42,42,42,42,42,42
100 Main Street SE,Park Ave & 4th Street S,102,102,102,102,102,102
100 Main Street SE,Pleasant Ave S &  Lake Street,1,1,1,1,1,1
100 Main Street SE,Plymouth Ave N &  N Oliver Ave,4,4,4,4,4,4
100 Main Street SE,Portland Ave & Washington Ave,215,215,215,215,215,215
100 Main Street SE,Riverside Ave & 23rd Ave S,1,1,1,1,1,1
100 Main Street SE,S 5th Street & Nicollet Mall,122,122,122,122,122,122
100 Main Street SE,S 8th Street & 2nd Ave S,39,39,39,39,39,39
100 Main Street SE,SE 3rd Ave & University Ave SE,24,24,24,24,24,24
100 Main Street SE,Sanford Hall,88,88,88,88,88,88
100 Main Street SE,Social Sciences,20,20,20,20,20,20
100 Main Street SE,South 2nd Street & 3rd Ave S,131,131,131,131,131,131
100 Main Street SE,Target Field Station,39,39,39,39,39,39
100 Main Street SE,U of M St. Paul Student Center,2,2,2,2,2,2
100 Main Street SE,University & Bank Street SE,89,89,89,89,89,89
100 Main Street SE,University Ave NE & 12th Ave NE,58,58,58,58,58,58
100 Main Street SE,University Ave SE & Bedford Street SE,3,3,3,3,3,3
100 Main Street SE,University of St. Thomas,1,1,1,1,1,1
100 Main Street SE,Upton Ave S & Sheridan Ave S,1,1,1,1,1,1
100 Main Street SE,W 31st Street & Hennepin Ave S,2,2,2,2,2,2
100 Main Street SE,W 36th Street & W Calhoun Parkway,1,1,1,1,1,1
100 Main Street SE,W 50th Street & W Minnehaha Pkwy,1,1,1,1,1,1
100 Main Street SE,Walker Art Center,35,35,35,35,35,35
100 Main Street SE,Washington & Cedar,77,77,77,77,77,77
100 Main Street SE,Washington & Marquette,141,141,141,141,141,141
100 Main Street SE,Washington Ave N & Cedar Lake Trail,51,51,51,51,51,51
100 Main Street SE,Washington Ave S & 10th Ave S,71,71,71,71,71,71
100 Main Street SE,Washington Ave SE & Union Street SE,44,44,44,44,44,44
100 Main Street SE,Weisman Art Museum,50,50,50,50,50,50
100 Main Street SE,West 15th Street & Willow,74,74,74,74,74,74
100 Main Street SE,West 32nd Street & Bryant Ave S,3,3,3,3,3,3
100 Main Street SE,West 34th Street  & Hennepin Ave S,2,2,2,2,2,2
100 Main Street SE,West 36th Street & Bryant Ave S,3,3,3,3,3,3
100 Main Street SE,Wilder Street & Marshall Ave,4,4,4,4,4,4
100 Main Street SE,Willey Hall,20,20,20,20,20,20
100 Main Street SE,Williamson Hall,19,19,19,19,19,19
100 Main Street SE,Wirth Beach,3,3,3,3,3,3
100 Main Street SE,YWCA Downtown,55,55,55,55,55,55
10th Street & Nicollet Mall,100 Main Street SE,59,59,59,59,59,59
10th Street & Nicollet Mall,10th Street & Nicollet Mall,89,89,89,89,89,89
10th Street & Nicollet Mall,11th Ave S & S 2nd Street,34,34,34,34,34,34
10th Street & Nicollet Mall,11th Street & Hennepin,18,18,18,18,18,18
10th Street & Nicollet Mall,11th Street & Marquette,49,49,49,49,49,49
10th Street & Nicollet Mall,15th Ave SE & 4th Street SE,2,2,2,2,2,2
10th Street & Nicollet Mall,15th Ave SE & Como Ave SE,2,2,2,2,2,2
10th Street & Nicollet Mall,18th Ave Trail & 2nd Street NE,1,1,1,1,1,1
10th Street & Nicollet Mall,22nd Ave S & Franklin Ave,6,6,6,6,6,6
10th Street & Nicollet Mall,23rd Ave SE & 6th Street SE,2,2,2,2,2,2
10th Street & Nicollet Mall,23rd Ave SE & University Ave SE,12,12,12,12,12,12
10th Street & Nicollet Mall,25th Street & 33rd Ave S,5,5,5,5,5,5
10th Street & Nicollet Mall,26th Street & Hennepin,9,9,9,9,9,9
10th Street & Nicollet Mall,26th Street & Lyndale,22,22,22,22,22,22
10th Street & Nicollet Mall,27th Ave S & Minnehaha Ave,3,3,3,3,3,3
10th Street & Nicollet Mall,27th Ave SE & University Ave,1,1,1,1,1,1
10th Street & Nicollet Mall,28th Street & Nicollet Ave. S,18,18,18,18,18,18
10th Street & Nicollet Mall,2nd Ave N & N 6th Street,31,31,31,31,31,31
10th Street & Nicollet Mall,2nd Ave N & Washington Ave N,31,31,31,31,31,31
10th Street & Nicollet Mall,2nd Ave S & S 3rd Street,83,83,83,83,83,83
10th Street & Nicollet Mall,2nd Street N & 8th Ave N,38,38,38,38,38,38
10th Street & Nicollet Mall,2nd Street SE & 5th Ave SE,15,15,15,15,15,15
10th Street & Nicollet Mall,38th Street Light Rail Station,2,2,2,2,2,2
10th Street & Nicollet Mall,3rd Street N & 8th Ave N,5,5,5,5,5,5
10th Street & Nicollet Mall,3rd Street NE & Lowry Ave NE,3,3,3,3,3,3
10th Street & Nicollet Mall,46th Street Light Rail Station,1,1,1,1,1,1
10th Street & Nicollet Mall,4th Street & 13th Ave SE,4,4,4,4,4,4
10th Street & Nicollet Mall,4th Street S & 19th Ave,12,12,12,12,12,12
10th Street & Nicollet Mall,5th Ave N & 4th Street N,8,8,8,8,8,8
10th Street & Nicollet Mall,5th Street NE & 1st Ave NE,10,10,10,10,10,10
10th Street & Nicollet Mall,5th Street NE & 3rd Ave NE,6,6,6,6,6,6
10th Street & Nicollet Mall,6th Ave SE & University Ave,36,36,36,36,36,36
10th Street & Nicollet Mall,7th Street & 4th Ave S,42,42,42,42,42,42
10th Street & Nicollet Mall,7th Street N & Plymouth Ave N,1,1,1,1,1,1
10th Street & Nicollet Mall,7th Street SE & 10th Ave SE,4,4,4,4,4,4
10th Street & Nicollet Mall,9th Street & 4th Ave,25,25,25,25,25,25
10th Street & Nicollet Mall,9th Street N & Hawthorne Ave,13,13,13,13,13,13
10th Street & Nicollet Mall,Bohemian Flats,6,6,6,6,6,6
10th Street & Nicollet Mall,Boom Island Park,1,1,1,1,1,1
10th Street & Nicollet Mall,Broadway & Marshall Street NE,2,2,2,2,2,2
10th Street & Nicollet Mall,Chicago & 27th Street,3,3,3,3,3,3
10th Street & Nicollet Mall,Chicago Ave & S Washington Ave,26,26,26,26,26,26
10th Street & Nicollet Mall,Coffman Union,2,2,2,2,2,2
10th Street & Nicollet Mall,Coldwater Spring,6,6,6,6,6,6
10th Street & Nicollet Mall,Como Ave SE & 29th Ave SE,3,3,3,3,3,3
10th Street & Nicollet Mall,Currie Park,4,4,4,4,4,4
10th Street & Nicollet Mall,Dupont Ave & 22nd Street,22,22,22,22,22,22
10th Street & Nicollet Mall,Dupont Ave S & W 29th Street,11,11,11,11,11,11
10th Street & Nicollet Mall,E 38th Street & 42nd Ave S,1,1,1,1,1,1
10th Street & Nicollet Mall,East Lake Street & 36th Ave S,2,2,2,2,2,2
10th Street & Nicollet Mall,Elliot Ave S & E 24th Street,1,1,1,1,1,1
10th Street & Nicollet Mall,Elliot Park,42,42,42,42,42,42
10th Street & Nicollet Mall,Elwood Ave N & Oak Park Ave N,5,5,5,5,5,5
10th Street & Nicollet Mall,Farview Park,1,1,1,1,1,1
10th Street & Nicollet Mall,Franklin & 11th Ave,5,5,5,5,5,5
10th Street & Nicollet Mall,Franklin & 28th Ave,2,2,2,2,2,2
10th Street & Nicollet Mall,Franklin & Portland,50,50,50,50,50,50
10th Street & Nicollet Mall,Gateway Park,35,35,35,35,35,35
10th Street & Nicollet Mall,Glenwood Ave & N Morgan Ave,2,2,2,2,2,2
10th Street & Nicollet Mall,Grant Street & Portland Ave,139,139,139,139,139,139
10th Street & Nicollet Mall,Groveland Ave & Clifton Place,26,26,26,26,26,26
10th Street & Nicollet Mall,Hennepin & Central Avenue NE,22,22,22,22,22,22
10th Street & Nicollet Mall,Hennepin & Laurel Ave,43,43,43,43,43,43
10th Street & Nicollet Mall,Hennepin Ave & S Washington Ave,87,87,87,87,87,87
10th Street & Nicollet Mall,Hennepin County Government Center,57,57,57,57,57,57
10th Street & Nicollet Mall,Hiawatha Ave & E 50th Street,1,1,1,1,1,1
10th Street & Nicollet Mall,IDS Center,40,40,40,40,40,40
10th Street & Nicollet Mall,Lake Calhoun Center,7,7,7,7,7,7
10th Street & Nicollet Mall,Lake Harriet Bandshell,4,4,4,4,4,4
10th Street & Nicollet Mall,Lake Street & Humboldt,13,13,13,13,13,13
10th Street & Nicollet Mall,Lake Street & Knox Ave S,23,23,23,23,23,23
10th Street & Nicollet Mall,Lake Street & West River Parkway,1,1,1,1,1,1
10th Street & Nicollet Mall,Logan Park,10,10,10,10,10,10
10th Street & Nicollet Mall,Loring Park,42,42,42,42,42,42
10th Street & Nicollet Mall,Lyndale Ave S & 22nd Street ,51,51,51,51,51,51
10th Street & Nicollet Mall,Lyndale Ave S & W 29th Street,23,23,23,23,23,23
10th Street & Nicollet Mall,MCAD,30,30,30,30,30,30
10th Street & Nicollet Mall,Malcolm Ave SE & 5th Street SE,9,9,9,9,9,9
10th Street & Nicollet Mall,Mariucci Arena,1,1,1,1,1,1
10th Street & Nicollet Mall,Marshall Street NE & Lowry Ave,1,1,1,1,1,1
10th Street & Nicollet Mall,Mayo Memorial Building,1,1,1,1,1,1
10th Street & Nicollet Mall,McNamara Center,2,2,2,2,2,2
10th Street & Nicollet Mall,Midtown Exchange,16,16,16,16,16,16
10th Street & Nicollet Mall,Midtown Greenway & 5th Ave S,2,2,2,2,2,2
10th Street & Nicollet Mall,Midtown YWCA,4,4,4,4,4,4
10th Street & Nicollet Mall,Mill City Quarter,42,42,42,42,42,42
10th Street & Nicollet Mall,Minneapolis Farmers Market,14,14,14,14,14,14
10th Street & Nicollet Mall,Minneapolis Park & Recreation Board,5,5,5,5,5,5
10th Street & Nicollet Mall,Minnehaha Park,11,11,11,11,11,11
10th Street & Nicollet Mall,Mpls Convention Center,44,44,44,44,44,44
10th Street & Nicollet Mall,N 4th Ave & W River Parkway,23,23,23,23,23,23
10th Street & Nicollet Mall,N Washington Ave & 9th Ave N,5,5,5,5,5,5
10th Street & Nicollet Mall,Nicollet & Franklin,142,142,142,142,142,142
10th Street & Nicollet Mall,Nicollet Ave & W 37th Street,7,7,7,7,7,7
10th Street & Nicollet Mall,Nicollet Island,13,13,13,13,13,13
10th Street & Nicollet Mall,Nicollet Mall & Grant Street,46,46,46,46,46,46
10th Street & Nicollet Mall,North 2nd Street & 4th Ave N,52,52,52,52,52,52
10th Street & Nicollet Mall,North Mississippi Regional Park,2,2,2,2,2,2
10th Street & Nicollet Mall,Oak Street Ramp,1,1,1,1,1,1
10th Street & Nicollet Mall,Park Ave & 4th Street S,63,63,63,63,63,63
10th Street & Nicollet Mall,Pleasant Ave S &  Lake Street,3,3,3,3,3,3
10th Street & Nicollet Mall,Plymouth Ave N &  N Oliver Ave,4,4,4,4,4,4
10th Street & Nicollet Mall,Portland Ave & Washington Ave,39,39,39,39,39,39
10th Street & Nicollet Mall,Riverside Ave & 23rd Ave S,3,3,3,3,3,3
10th Street & Nicollet Mall,S 5th Street & Nicollet Mall,34,34,34,34,34,34
10th Street & Nicollet Mall,S 8th Street & 2nd Ave S,11,11,11,11,11,11
10th Street & Nicollet Mall,SE 3rd Ave & University Ave SE,8,8,8,8,8,8
10th Street & Nicollet Mall,Sanford Hall,8,8,8,8,8,8
10th Street & Nicollet Mall,Social Sciences,2,2,2,2,2,2
10th Street & Nicollet Mall,South 2nd Street & 3rd Ave S,63,63,63,63,63,63
10th Street & Nicollet Mall,Target Field Station,67,67,67,67,67,67
10th Street & Nicollet Mall,University & Bank Street SE,24,24,24,24,24,24
10th Street & Nicollet Mall,University Ave NE & 12th Ave NE,9,9,9,9,9,9
10th Street & Nicollet Mall,University Ave SE & Bedford Street SE,3,3,3,3,3,3
10th Street & Nicollet Mall,University of St. Thomas,2,2,2,2,2,2
10th Street & Nicollet Mall,W 31st Street & Hennepin Ave S,9,9,9,9,9,9
10th Street & Nicollet Mall,W 50th Street & W Minnehaha Pkwy,1,1,1,1,1,1
10th Street & Nicollet Mall,Walker Art Center,72,72,72,72,72,72
10th Street & Nicollet Mall,Washington & Cedar,30,30,30,30,30,30
10th Street & Nicollet Mall,Washington & Marquette,55,55,55,55,55,55
10th Street & Nicollet Mall,Washington Ave N & Cedar Lake Trail,18,18,18,18,18,18
10th Street & Nicollet Mall,Washington Ave S & 10th Ave S,43,43,43,43,43,43
10th Street & Nicollet Mall,Weisman Art Museum,5,5,5,5,5,5
10th Street & Nicollet Mall,West 15th Street & Willow,324,324,324,324,324,324
10th Street & Nicollet Mall,West 32nd Street & Bryant Ave S,5,5,5,5,5,5
10th Street & Nicollet Mall,West 34th Street  & Hennepin Ave S,4,4,4,4,4,4
10th Street & Nicollet Mall,West 36th Street & Bryant Ave S,8,8,8,8,8,8
10th Street & Nicollet Mall,YWCA Downtown,42,42,42,42,42,42
10th Street & Nicollet Mall,YWCA Uptown,6,6,6,6,6,6
10th Street E & Cedar Street,10th Street E & Cedar Street,76,76,76,76,76,76
10th Street E & Cedar Street,15th Ave SE & Como Ave SE,3,3,3,3,3,3
10th Street E & Cedar Street,5th Street E & Minnesota Street N,19,19,19,19,19,19
10th Street E & Cedar Street,7th Place & Jackson Street,79,79,79,79,79,79
10th Street E & Cedar Street,7th Street E & Wacouta Street,81,81,81,81,81,81
10th Street E & Cedar Street,7th Street W & Grand Ave,16,16,16,16,16,16
10th Street E & Cedar Street,Broadway Street N & 4th Street E,15,15,15,15,15,15
10th Street E & Cedar Street,Cedar Street & Columbus Ave,7,7,7,7,7,7
10th Street E & Cedar Street,Cleveland Ave S & Highland Parkway,1,1,1,1,1,1
10th Street E & Cedar Street,Coldwater Spring,1,1,1,1,1,1
10th Street E & Cedar Street,Como Park Conservatory,2,2,2,2,2,2
10th Street E & Cedar Street,Dale Street & Grand Ave.,2,2,2,2,2,2
10th Street E & Cedar Street,Dale Street N & University Ave,3,3,3,3,3,3
10th Street E & Cedar Street,E 14th Street & N Robert Street ,21,21,21,21,21,21
10th Street E & Cedar Street,Fairview Ave & University Ave,2,2,2,2,2,2
10th Street E & Cedar Street,Fort Snelling State Park,1,1,1,1,1,1
10th Street E & Cedar Street,Grand Ave & Fairview Ave,1,1,1,1,1,1
10th Street E & Cedar Street,Hague Ave & Dale Street,2,2,2,2,2,2
10th Street E & Cedar Street,Hamline Ave N & University Ave,1,1,1,1,1,1
10th Street E & Cedar Street,Harriet Island,15,15,15,15,15,15
10th Street E & Cedar Street,Kellogg Blvd & Wabasha Street,12,12,12,12,12,12
10th Street E & Cedar Street,Kellogg Blvd E & Jackson Street,9,9,9,9,9,9
10th Street E & Cedar Street,Kellogg Blvd W & Smith Ave,67,67,67,67,67,67
10th Street E & Cedar Street,Kowalski's Market,4,4,4,4,4,4
10th Street E & Cedar Street,Lake Como Pavilion,8,8,8,8,8,8
10th Street E & Cedar Street,Landmark Plaza,64,64,64,64,64,64
10th Street E & Cedar Street,Lexington Pkwy & University Ave,2,2,2,2,2,2
10th Street E & Cedar Street,Macalester College,1,1,1,1,1,1
10th Street E & Cedar Street,Malcolm Ave SE & 5th Street SE,1,1,1,1,1,1
10th Street E & Cedar Street,Minnesota Dept. of Transportation,16,16,16,16,16,16
10th Street E & Cedar Street,Minnesota History Center,8,8,8,8,8,8
10th Street E & Cedar Street,N Milton Street & Summit Ave,9,9,9,9,9,9
10th Street E & Cedar Street,N Robert Street & E 10th Street,98,98,98,98,98,98
10th Street E & Cedar Street,Rice Street & University Ave W,14,14,14,14,14,14
10th Street E & Cedar Street,Schmidt Brewery,3,3,3,3,3,3
10th Street E & Cedar Street,Science Museum of Minnesota,11,11,11,11,11,11
10th Street E & Cedar Street,Selby Ave & Virginia Street,10,10,10,10,10,10
10th Street E & Cedar Street,Shepard Road & Sibley Street,4,4,4,4,4,4
10th Street E & Cedar Street,U of M St. Paul Student Center,1,1,1,1,1,1
10th Street E & Cedar Street,Union Depot,56,56,56,56,56,56
10th Street E & Cedar Street,University Ave & Western Ave,2,2,2,2,2,2
10th Street E & Cedar Street,Upper Landing,13,13,13,13,13,13
10th Street E & Cedar Street,Wabasha Street S & E Fillmore Ave,98,98,98,98,98,98
10th Street E & Cedar Street,Wells Fargo Place,46,46,46,46,46,46
10th Street E & Cedar Street,Wilder Street & Marshall Ave,1,1,1,1,1,1
11th Ave S & S 2nd Street,100 Main Street SE,536,536,536,536,536,536
11th Ave S & S 2nd Street,10th Street & Nicollet Mall,53,53,53,53,53,53
11th Ave S & S 2nd Street,11th Ave S & S 2nd Street,1022,1022,1022,1022,1022,1022
11th Ave S & S 2nd Street,11th Street & Hennepin,43,43,43,43,43,43
11th Ave S & S 2nd Street,11th Street & Marquette,61,61,61,61,61,61
11th Ave S & S 2nd Street,15th Ave SE & 4th Street SE,93,93,93,93,93,93
11th Ave S & S 2nd Street,15th Ave SE & Como Ave SE,32,32,32,32,32,32
11th Ave S & S 2nd Street,18th Ave Trail & 2nd Street NE,12,12,12,12,12,12
11th Ave S & S 2nd Street,22nd Ave NE & California Street NE,5,5,5,5,5,5
11th Ave S & S 2nd Street,22nd Ave S & Franklin Ave,12,12,12,12,12,12
11th Ave S & S 2nd Street,23rd Ave SE & 6th Street SE,75,75,75,75,75,75
11th Ave S & S 2nd Street,23rd Ave SE & University Ave SE,38,38,38,38,38,38
11th Ave S & S 2nd Street,25th Street & 33rd Ave S,36,36,36,36,36,36
11th Ave S & S 2nd Street,26th Street & Hennepin,8,8,8,8,8,8
11th Ave S & S 2nd Street,26th Street & Lyndale,10,10,10,10,10,10
11th Ave S & S 2nd Street,27th Ave S & Minnehaha Ave,13,13,13,13,13,13
11th Ave S & S 2nd Street,27th Ave SE & University Ave,31,31,31,31,31,31
11th Ave S & S 2nd Street,28th Street & Nicollet Ave. S,6,6,6,6,6,6
11th Ave S & S 2nd Street,2nd Ave N & N 6th Street,55,55,55,55,55,55
11th Ave S & S 2nd Street,2nd Ave N & Washington Ave N,120,120,120,120,120,120
11th Ave S & S 2nd Street,2nd Ave S & S 3rd Street,157,157,157,157,157,157
11th Ave S & S 2nd Street,2nd Street N & 8th Ave N,52,52,52,52,52,52
11th Ave S & S 2nd Street,2nd Street SE & 5th Ave SE,91,91,91,91,91,91
11th Ave S & S 2nd Street,38th Street Light Rail Station,14,14,14,14,14,14
11th Ave S & S 2nd Street,3rd Street N & 8th Ave N,31,31,31,31,31,31
11th Ave S & S 2nd Street,3rd Street NE & Lowry Ave NE,8,8,8,8,8,8
11th Ave S & S 2nd Street,46th Street Light Rail Station,43,43,43,43,43,43
11th Ave S & S 2nd Street,4th Street & 13th Ave SE,108,108,108,108,108,108
11th Ave S & S 2nd Street,4th Street & 17th Ave SE,65,65,65,65,65,65
11th Ave S & S 2nd Street,4th Street S & 19th Ave,86,86,86,86,86,86
11th Ave S & S 2nd Street,5th Ave N & 4th Street N,37,37,37,37,37,37
11th Ave S & S 2nd Street,5th Street NE & 1st Ave NE,7,7,7,7,7,7
11th Ave S & S 2nd Street,5th Street NE & 3rd Ave NE,17,17,17,17,17,17
11th Ave S & S 2nd Street,6th Ave SE & University Ave,391,391,391,391,391,391
11th Ave S & S 2nd Street,7th Street & 4th Ave S,78,78,78,78,78,78
11th Ave S & S 2nd Street,7th Street E & Wacouta Street,1,1,1,1,1,1
11th Ave S & S 2nd Street,7th Street N & Plymouth Ave N,1,1,1,1,1,1
11th Ave S & S 2nd Street,7th Street SE & 10th Ave SE,20,20,20,20,20,20
11th Ave S & S 2nd Street,9th Street & 4th Ave,40,40,40,40,40,40
11th Ave S & S 2nd Street,9th Street N & Hawthorne Ave,28,28,28,28,28,28
11th Ave S & S 2nd Street,Bohemian Flats,111,111,111,111,111,111
11th Ave S & S 2nd Street,Boom Island Park,39,39,39,39,39,39
11th Ave S & S 2nd Street,Broadway & Marshall Street NE,35,35,35,35,35,35
11th Ave S & S 2nd Street,Broadway Street N & 4th Street E,1,1,1,1,1,1
11th Ave S & S 2nd Street,Carleton Street & University Ave ,2,2,2,2,2,2
11th Ave S & S 2nd Street,Central Ave NE & 22nd Ave NE,12,12,12,12,12,12
11th Ave S & S 2nd Street,Chicago & 27th Street,7,7,7,7,7,7
